,Order Date,Segment,Region,Category,Sub-Category,Sales,Day of Week,Day,Year,Month,Season
116,2015-08-25,Consumer,East,Office Supplies,Envelopes,130.464,1,25,2015,8,Summer
117,2016-03-02,Consumer,West,Furniture,Tables,787.53,2,2,2016,3,Spring
118,2016-04-05,Corporate,South,Office Supplies,Binders,157.794,1,5,2016,4,Spring
119,2017-06-12,Consumer,East,Furniture,Furnishings,47.04,0,12,2017,6,Summer
120,2017-06-12,Consumer,East,Office Supplies,Binders,30.84,0,12,2017,6,Summer
121,2017-06-12,Consumer,East,Office Supplies,Storage,226.56,0,12,2017,6,Summer
122,2017-06-12,Consumer,East,Office Supplies,Envelopes,115.02,0,12,2017,6,Summer
123,2017-06-12,Consumer,East,Technology,Phones,68.04,0,12,2017,6,Summer
124,2015-12-26,Home Office,Central,Furniture,Chairs,600.558,5,26,2015,12,Winter
125,2015-09-20,Consumer,Central,Furniture,Tables,617.7,6,20,2015,9,Autumn
126,2018-11-05,Consumer,West,Office Supplies,Binders,2.388,0,5,2018,11,Autumn
127,2018-11-05,Consumer,West,Office Supplies,Storage,243.992,0,5,2018,11,Autumn
128,2017-11-06,Home Office,West,Furniture,Chairs,81.424,0,6,2017,11,Autumn
129,2017-11-06,Home Office,West,Furniture,Furnishings,238.56,0,6,2017,11,Autumn
130,2018-02-02,Corporate,East,Technology,Phones,59.97,4,2,2018,2,Winter
131,2018-02-02,Corporate,East,Office Supplies,Paper,78.304,4,2,2018,2,Winter
132,2018-02-02,Corporate,East,Office Supplies,Fasteners,21.456,4,2,2018,2,Winter
133,2017-10-13,Consumer,West,Office Supplies,Paper,20.04,4,13,2017,10,Autumn
134,2017-10-13,Consumer,West,Office Supplies,Paper,35.44,4,13,2017,10,Autumn
135,2017-10-13,Consumer,West,Office Supplies,Art,11.52,4,13,2017,10,Autumn
136,2017-10-13,Consumer,West,Office Supplies,Fasteners,4.02,4,13,2017,10,Autumn
137,2017-10-13,Consumer,West,Office Supplies,Binders,76.176,4,13,2017,10,Autumn
138,2017-10-13,Consumer,West,Office Supplies,Supplies,65.88,4,13,2017,10,Autumn
139,2017-10-13,Consumer,West,Furniture,Furnishings,43.12,4,13,2017,10,Autumn
140,2017-09-05,Corporate,East,Furniture,Furnishings,82.8,1,5,2017,9,Autumn
141,2018-09-18,Corporate,West,Office Supplies,Art,8.82,1,18,2018,9,Autumn
142,2018-09-18,Corporate,West,Office Supplies,Envelopes,10.86,1,18,2018,9,Autumn
143,2018-09-18,Corporate,West,Office Supplies,Paper,143.7,1,18,2018,9,Autumn
144,2018-12-22,Consumer,Central,Office Supplies,Appliances,839.43,5,22,2018,12,Winter
145,2016-09-07,Consumer,West,Office Supplies,Storage,671.93,2,7,2016,9,Autumn
146,2015-10-22,Home Office,East,Furniture,Furnishings,93.888,3,22,2015,10,Autumn
147,2017-12-05,Corporate,Central,Technology,Phones,384.45,1,5,2017,12,Winter
148,2017-12-05,Corporate,Central,Technology,Phones,149.97,1,5,2017,12,Winter
149,2017-12-05,Corporate,Central,Furniture,Chairs,1951.84,1,5,2017,12,Winter
150,2017-12-05,Corporate,Central,Office Supplies,Binders,171.55,1,5,2017,12,Winter
151,2017-03-13,Home Office,West,Office Supplies,Appliances,157.92,0,13,2017,3,Spring
152,2017-03-13,Home Office,West,Technology,Phones,203.184,0,13,2017,3,Spring
153,2016-05-31,Corporate,West,Office Supplies,Paper,58.38,1,31,2016,5,Spring
154,2016-05-31,Corporate,West,Office Supplies,Paper,105.52,1,31,2016,5,Spring
155,2016-05-31,Corporate,West,Office Supplies,Storage,80.88,1,31,2016,5,Spring
156,2016-05-28,Home Office,West,Office Supplies,Art,6.63,5,28,2016,5,Spring
157,2015-03-01,Consumer,West,Furniture,Chairs,457.568,6,1,2015,3,Spring
158,2017-11-20,Consumer,Central,Office Supplies,Labels,14.62,0,20,2017,11,Autumn
159,2017-11-20,Consumer,Central,Technology,Phones,944.93,0,20,2017,11,Autumn
160,2017-05-11,Consumer,West,Office Supplies,Paper,5.98,3,11,2017,5,Spring
161,2016-12-28,Consumer,East,Technology,Accessories,54.384,2,28,2016,12,Winter
162,2017-11-16,Consumer,West,Office Supplies,Envelopes,28.4,3,16,2017,11,Autumn
163,2017-11-07,Consumer,West,Office Supplies,Binders,27.68,1,7,2017,11,Autumn
164,2015-09-08,Consumer,Central,Office Supplies,Art,9.936,1,8,2015,9,Autumn
165,2015-09-08,Consumer,Central,Technology,Machines,8159.952,1,8,2015,9,Autumn
166,2015-09-08,Consumer,Central,Office Supplies,Storage,275.928,1,8,2015,9,Autumn
167,2015-09-08,Consumer,Central,Furniture,Chairs,1740.06,1,8,2015,9,Autumn
168,2015-09-08,Consumer,Central,Office Supplies,Art,32.064,1,8,2015,9,Autumn
169,2015-09-08,Consumer,Central,Office Supplies,Appliances,177.98,1,8,2015,9,Autumn
170,2015-09-08,Consumer,Central,Technology,Phones,143.976,1,8,2015,9,Autumn
171,2015-08-05,Consumer,West,Office Supplies,Paper,20.94,2,5,2015,8,Summer
172,2015-08-05,Consumer,West,Office Supplies,Paper,110.96,2,5,2015,8,Summer
173,2015-08-05,Consumer,West,Furniture,Chairs,340.144,2,5,2015,8,Summer
174,2015-09-14,Corporate,Central,Office Supplies,Appliances,52.448,0,14,2015,9,Autumn
175,2015-09-14,Corporate,Central,Office Supplies,Labels,20.16,0,14,2015,9,Autumn
176,2018-04-21,Consumer,Central,Office Supplies,Appliances,97.264,5,21,2018,4,Spring
177,2016-11-21,Consumer,East,Furniture,Chairs,396.802,0,21,2016,11,Autumn
178,2016-11-21,Consumer,East,Office Supplies,Supplies,15.88,0,21,2016,11,Autumn
179,2016-12-15,Home Office,East,Office Supplies,Art,3.28,3,15,2016,12,Winter
180,2015-12-05,Corporate,Central,Office Supplies,Storage,24.816,5,5,2015,12,Winter
181,2015-12-05,Corporate,Central,Technology,Accessories,408.744,5,5,2015,12,Winter
182,2015-11-19,Home Office,South,Technology,Phones,503.96,3,19,2015,11,Autumn
183,2015-11-19,Home Office,South,Technology,Phones,149.95,3,19,2015,11,Autumn
184,2015-11-19,Home Office,South,Technology,Accessories,29.0,3,19,2015,11,Autumn
185,2017-11-28,Consumer,East,Office Supplies,Binders,7.16,1,28,2017,11,Autumn
186,2015-08-26,Home Office,West,Technology,Accessories,176.8,2,26,2015,8,Summer
187,2017-07-16,Corporate,Central,Office Supplies,Storage,37.224,6,16,2017,7,Summer
188,2017-07-16,Corporate,Central,Office Supplies,Paper,20.016,6,16,2017,7,Summer
189,2016-10-12,Home Office,East,Furniture,Bookcases,899.136,2,12,2016,10,Autumn
190,2016-10-12,Home Office,East,Technology,Phones,71.76,2,12,2016,10,Autumn
191,2016-10-12,Home Office,East,Office Supplies,Paper,51.84,2,12,2016,10,Autumn
192,2016-10-12,Home Office,East,Furniture,Bookcases,626.352,2,12,2016,10,Autumn
193,2016-10-12,Home Office,East,Office Supplies,Art,19.9,2,12,2016,10,Autumn
194,2016-10-31,Corporate,West,Office Supplies,Envelopes,14.28,0,31,2016,10,Autumn
195,2015-03-21,Consumer,East,Office Supplies,Art,7.408,5,21,2015,3,Spring
196,2015-03-21,Consumer,East,Office Supplies,Art,6.048,5,21,2015,3,Spring
197,2018-11-06,Home Office,East,Office Supplies,Storage,46.26,1,6,2018,11,Autumn
198,2018-07-06,Corporate,East,Office Supplies,Binders,2.946,4,6,2018,7,Summer
199,2018-07-06,Corporate,East,Office Supplies,Paper,16.056,4,6,2018,7,Summer
200,2018-06-24,Consumer,East,Office Supplies,Paper,21.744,6,24,2018,6,Summer
201,2015-08-03,Consumer,West,Furniture,Tables,218.75,0,3,2015,8,Summer
202,2015-08-03,Consumer,West,Office Supplies,Appliances,2.6,0,3,2015,8,Summer
203,2018-12-17,Consumer,Central,Office Supplies,Appliances,66.284,0,17,2018,12,Winter
204,2018-06-03,Corporate,South,Furniture,Furnishings,35.168,6,3,2018,6,Summer
205,2018-12-09,Consumer,West,Technology,Phones,444.768,6,9,2018,12,Winter
206,2018-12-01,Consumer,Central,Office Supplies,Storage,83.92,5,1,2018,12,Winter
207,2018-12-01,Consumer,Central,Technology,Phones,131.98,5,1,2018,12,Winter
208,2018-12-01,Consumer,Central,Office Supplies,Binders,15.92,5,1,2018,12,Winter
209,2018-12-01,Consumer,Central,Office Supplies,Fasteners,52.29,5,1,2018,12,Winter
210,2018-12-01,Consumer,Central,Office Supplies,Storage,91.99,5,1,2018,12,Winter
211,2016-02-09,Corporate,Central,Technology,Accessories,20.8,1,9,2016,2,Winter
212,2016-01-02,Corporate,East,Office Supplies,Labels,23.68,5,2,2016,1,Winter
213,2016-01-02,Corporate,East,Furniture,Bookcases,452.45,5,2,2016,1,Winter
214,2016-01-02,Corporate,East,Technology,Phones,62.982,5,2,2016,1,Winter
215,2016-01-02,Corporate,East,Technology,Machines,1188.0,5,2,2016,1,Winter
216,2016-01-02,Corporate,East,Technology,Accessories,89.584,5,2,2016,1,Winter
217,2017-10-28,Consumer,West,Office Supplies,Storage,93.06,5,28,2017,10,Autumn
218,2017-10-28,Consumer,West,Technology,Phones,302.376,5,28,2017,10,Autumn
219,2016-12-24,Consumer,East,Office Supplies,Fasteners,5.584,5,24,2016,12,Winter
220,2016-12-24,Consumer,East,Office Supplies,Paper,22.704,5,24,2016,12,Winter
221,2016-12-24,Consumer,East,Office Supplies,Binders,19.776,5,24,2016,12,Winter
222,2016-12-24,Consumer,East,Furniture,Furnishings,72.704,5,24,2016,12,Winter
223,2016-12-24,Consumer,East,Technology,Machines,479.988,5,24,2016,12,Winter
224,2016-12-24,Consumer,East,Office Supplies,Art,27.168,5,24,2016,12,Winter
225,2016-08-09,Corporate,Central,Office Supplies,Art,2.2,1,9,2016,8,Summer
226,2016-08-09,Corporate,Central,Furniture,Tables,622.45,1,9,2016,8,Summer
227,2016-08-09,Corporate,Central,Office Supplies,Storage,21.98,1,9,2016,8,Summer
228,2016-02-28,Consumer,South,Furniture,Chairs,161.568,6,28,2016,2,Winter
229,2016-02-28,Consumer,South,Furniture,Chairs,389.696,6,28,2016,2,Winter
230,2015-09-13,Corporate,South,Office Supplies,Binders,18.648,6,13,2015,9,Autumn
231,2018-04-07,Home Office,South,Furniture,Tables,233.86,5,7,2018,4,Spring
232,2018-04-07,Home Office,South,Furniture,Tables,620.6145,5,7,2018,4,Spring
233,2018-04-07,Home Office,South,Office Supplies,Binders,5.328,5,7,2018,4,Spring
234,2018-04-07,Home Office,South,Furniture,Furnishings,258.072,5,7,2018,4,Spring
235,2018-04-07,Home Office,South,Technology,Accessories,617.976,5,7,2018,4,Spring
236,2018-11-12,Corporate,West,Office Supplies,Paper,10.56,0,12,2018,11,Autumn
237,2017-06-04,Consumer,Central,Office Supplies,Paper,25.92,6,4,2017,6,Summer
238,2017-06-04,Consumer,Central,Furniture,Furnishings,419.68,6,4,2017,6,Summer
239,2017-06-04,Consumer,Central,Furniture,Furnishings,11.688,6,4,2017,6,Summer
240,2017-06-04,Consumer,Central,Technology,Phones,31.984,6,4,2017,6,Summer
241,2017-06-04,Consumer,Central,Furniture,Tables,177.225,6,4,2017,6,Summer
242,2017-06-04,Consumer,Central,Furniture,Furnishings,4.044,6,4,2017,6,Summer
243,2017-06-04,Consumer,Central,Office Supplies,Art,7.408,6,4,2017,6,Summer
244,2015-06-01,Home Office,Central,Furniture,Chairs,2001.86,0,1,2015,6,Summer
245,2015-06-01,Home Office,Central,Office Supplies,Storage,166.72,0,1,2015,6,Summer
246,2015-06-01,Home Office,Central,Office Supplies,Paper,47.88,0,1,2015,6,Summer
247,2015-06-01,Home Office,Central,Office Supplies,Appliances,1503.25,0,1,2015,6,Summer
248,2015-06-01,Home Office,Central,Office Supplies,Paper,25.92,0,1,2015,6,Summer
249,2017-12-10,Consumer,West,Furniture,Chairs,321.568,6,10,2017,12,Winter
250,2017-09-11,Consumer,West,Office Supplies,Paper,7.61,0,11,2017,9,Autumn
251,2017-09-11,Consumer,West,Technology,Accessories,3347.37,0,11,2017,9,Autumn
252,2017-12-10,Consumer,East,Office Supplies,Storage,80.58,6,10,2017,12,Winter
253,2017-12-10,Consumer,East,Office Supplies,Envelopes,361.92,6,10,2017,12,Winter
254,2016-11-28,Corporate,Central,Furniture,Furnishings,12.132,0,28,2016,11,Autumn
255,2016-11-28,Corporate,Central,Office Supplies,Storage,82.368,0,28,2016,11,Autumn
256,2016-11-28,Corporate,Central,Office Supplies,Storage,53.92,0,28,2016,11,Autumn
257,2016-11-28,Corporate,Central,Technology,Phones,647.904,0,28,2016,11,Autumn
258,2018-12-01,Consumer,East,Technology,Accessories,20.37,5,1,2018,12,Winter
259,2018-12-01,Consumer,East,Office Supplies,Storage,221.55,5,1,2018,12,Winter
260,2018-12-01,Consumer,East,Office Supplies,Binders,17.52,5,1,2018,12,Winter
261,2018-06-08,Corporate,Central,Office Supplies,Appliances,1.624,4,8,2018,6,Summer
262,2015-09-19,Corporate,Central,Technology,Machines,3059.982,5,19,2015,9,Autumn
263,2015-09-19,Corporate,Central,Technology,Machines,2519.958,5,19,2015,9,Autumn
264,2017-06-06,Consumer,Central,Technology,Phones,328.224,1,6,2017,6,Summer
265,2016-11-10,Consumer,West,Technology,Accessories,79.9,3,10,2016,11,Autumn
266,2018-06-16,Corporate,South,Office Supplies,Art,14.016,5,16,2018,6,Summer
267,2017-01-22,Consumer,East,Office Supplies,Fasteners,7.56,6,22,2017,1,Winter
268,2018-12-09,Corporate,East,Office Supplies,Storage,37.208,6,9,2018,12,Winter
269,2018-12-09,Corporate,East,Office Supplies,Envelopes,57.576,6,9,2018,12,Winter
270,2018-12-28,Corporate,West,Office Supplies,Storage,725.84,4,28,2018,12,Winter
271,2016-07-30,Consumer,West,Technology,Accessories,209.93,5,30,2016,7,Summer
272,2016-07-30,Consumer,West,Furniture,Furnishings,5.28,5,30,2016,7,Summer
273,2016-07-30,Consumer,West,Office Supplies,Binders,10.92,5,30,2016,7,Summer
274,2018-09-16,Corporate,West,Office Supplies,Paper,8.82,6,16,2018,9,Autumn
275,2018-09-16,Corporate,West,Office Supplies,Art,5.98,6,16,2018,9,Autumn
276,2018-10-13,Corporate,East,Office Supplies,Paper,11.648,5,13,2018,10,Autumn
277,2018-10-13,Corporate,East,Office Supplies,Paper,18.176,5,13,2018,10,Autumn
278,2018-10-13,Corporate,East,Office Supplies,Storage,59.712,5,13,2018,10,Autumn
279,2018-10-13,Corporate,East,Office Supplies,Labels,24.84,5,13,2018,10,Autumn
280,2016-09-26,Consumer,Central,Office Supplies,Binders,2.08,0,26,2016,9,Autumn
281,2016-09-26,Consumer,Central,Technology,Phones,1114.4,0,26,2016,9,Autumn
282,2016-11-02,Consumer,West,Furniture,Tables,1038.84,2,2,2016,11,Autumn
283,2016-09-26,Consumer,West,Office Supplies,Paper,141.76,0,26,2016,9,Autumn
284,2016-09-26,Consumer,West,Technology,Accessories,239.8,0,26,2016,9,Autumn
285,2016-09-26,Consumer,West,Office Supplies,Paper,31.104,0,26,2016,9,Autumn
286,2017-12-18,Corporate,South,Office Supplies,Binders,254.058,0,18,2017,12,Winter
287,2017-12-18,Corporate,South,Office Supplies,Appliances,194.528,0,18,2017,12,Winter
288,2017-12-18,Corporate,South,Office Supplies,Supplies,961.48,0,18,2017,12,Winter
289,2017-11-20,Home Office,East,Office Supplies,Fasteners,19.096,0,20,2017,11,Autumn
290,2017-11-20,Home Office,East,Office Supplies,Labels,18.496,0,20,2017,11,Autumn
291,2017-11-20,Home Office,East,Technology,Accessories,255.984,0,20,2017,11,Autumn
292,2017-11-20,Home Office,East,Furniture,Bookcases,86.97,0,20,2017,11,Autumn
293,2015-12-26,Corporate,West,Furniture,Furnishings,300.416,5,26,2015,12,Winter
294,2015-12-26,Corporate,West,Furniture,Chairs,230.352,5,26,2015,12,Winter
295,2015-12-26,Corporate,West,Furniture,Furnishings,218.352,5,26,2015,12,Winter
296,2015-12-26,Corporate,West,Office Supplies,Binders,78.6,5,26,2015,12,Winter
297,2015-12-26,Corporate,West,Office Supplies,Fasteners,27.552,5,26,2015,12,Winter
298,2017-10-28,Corporate,East,Office Supplies,Paper,32.4,5,28,2017,10,Autumn
299,2017-10-28,Corporate,East,Office Supplies,Storage,1082.48,5,28,2017,10,Autumn
300,2017-10-28,Corporate,East,Office Supplies,Paper,56.91,5,28,2017,10,Autumn
301,2017-10-28,Corporate,East,Furniture,Furnishings,77.6,5,28,2017,10,Autumn
302,2017-10-28,Corporate,East,Office Supplies,Binders,14.28,5,28,2017,10,Autumn
303,2018-11-19,Consumer,Central,Furniture,Tables,219.075,0,19,2018,11,Autumn
304,2016-05-04,Corporate,East,Furniture,Furnishings,26.8,2,4,2016,5,Spring
305,2015-12-30,Corporate,Central,Office Supplies,Art,9.84,2,30,2015,12,Winter
306,2015-06-01,Home Office,East,Office Supplies,Binders,45.48,0,1,2015,6,Summer
307,2015-06-01,Home Office,East,Office Supplies,Art,289.2,0,1,2015,6,Summer
308,2018-04-15,Consumer,South,Office Supplies,Art,4.89,6,15,2018,4,Spring
309,2017-09-12,Corporate,West,Furniture,Furnishings,15.136,1,12,2017,9,Autumn
310,2017-09-12,Corporate,West,Furniture,Chairs,466.768,1,12,2017,9,Autumn
311,2017-09-12,Corporate,West,Furniture,Furnishings,15.232,1,12,2017,9,Autumn
312,2017-09-12,Corporate,West,Office Supplies,Labels,6.264,1,12,2017,9,Autumn
313,2015-09-27,Corporate,East,Furniture,Furnishings,87.54,6,27,2015,9,Autumn
